Depthm,T_degC,Salnty,O2ml_L,STheta,ChlorA,PO4uM,SiO3uM,NO3uM
1000,4.17,34.504,0.52,27.382,,,,
250,7.99,34.204,1.22,26.654,,2.65,49.0,33.3
512,5.17,34.153,0.61,26.989,,3.15,86.0,41.8
250,7.42,34.057,2.31,26.621,,2.29,47.3,31.7
250,8.12,34.196,1.16,26.629,,2.6,47.3,32.7
0,13.75,33.03,,24.717,,,,
100,12.83,33.037,5.71,24.909,0.08,0.58,3.6,2.7
0,12.0,32.23,5.96,24.439,,0.78,,
250,11.02,34.637,0.23,26.495,,2.8,40.1,26.5
20,15.71,,5.91,,,0.15,2.0,0.0
125,9.05,33.771,3.79,26.15,,,,
30,16.78,33.503,5.63,24.419,,,,
500,7.32,34.435,0.17,26.936,,3.16,,
378,6.87,34.071,1.86,26.71,,2.51,53.7,33.9
125,8.69,33.928,2.53,26.33,,,,
400,5.45,34.044,1.25,26.869,,2.48,,
30,16.48,33.469,5.67,24.463,0.05,0.31,2.9,0.2
500,5.84,34.15,,26.906,,,,
374,7.09,34.238,0.79,26.811,,2.9,60.9,36.3
800,4.07,34.339,0.38,27.259,,,,
84,10.84,33.38,4.72,25.545,0.09,1.42,13.8,16.5
12,15.26,33.161,6.18,24.499,0.95,0.32,2.0,0.1
300,8.04,34.229,0.87,26.667,,,,
208,10.32,34.43,,26.457,,,,
200,8.55,34.008,2.69,26.415,0.0,2.09,34.6,27.6
150,,,,,,,,
400,5.86,34.086,1.17,26.852,,2.88,71.1,38.6
201,9.24,,2.48,,,2.09,,
2,,,,,0.21,0.4,3.0,0.1
100,9.45,33.932,2.7,26.212,,,,
151,9.04,34.209,1.78,26.495,,2.43,41.0,
800,4.22,,0.48,,,,,
0,15.2,33.47,,24.75,,,,
70,10.27,33.852,2.91,26.011,0.04,1.81,24.6,22.1
10,19.94,33.25,5.39,23.445,,,,
0,16.77,33.421,,24.357,,,,
250,7.63,34.041,2.55,26.578,,,43.7,30.8
170,9.28,33.819,3.45,26.152,0.0,1.76,26.0,23.4
59,15.71,33.189,5.85,24.423,0.17,0.43,3.5,0.1
15,15.3,33.522,5.78,24.768,0.15,0.23,2.3,0.1
100,9.79,33.89,,26.123,,,,
304,9.85,34.564,0.14,26.643,,,,
374,8.17,34.47,0.39,26.838,,,,
268,9.21,34.21,1.29,26.471,,,,
447,6.64,34.291,0.48,26.915,,3.03,70.3,38.4
6,13.08,33.12,5.92,24.922,,,,
200,10.83,33.744,5.11,25.833,,,,
100,11.48,33.532,4.27,25.548,0.14,1.23,12.6,14.0
337,8.05,34.286,0.81,26.711,,2.78,53.8,34.1
378,7.29,34.226,0.96,26.774,,2.82,58.8,35.1
121,9.45,33.917,2.69,26.2,0.17,1.96,29.1,25.1
85,9.48,33.948,2.43,26.219,0.04,2.08,29.9,25.7
484,6.62,34.372,0.52,26.982,,,,
900,4.08,34.432,0.56,27.333,,3.14,,
800,4.42,34.36,,27.24,,,,
50,10.93,33.628,3.87,25.721,0.21,1.42,18.2,16.8
478,6.14,,0.52,,,2.84,,
600,5.2,,,,,,,
42,16.17,33.601,5.74,24.635,0.06,0.25,1.3,0.1
45,14.59,33.221,5.89,24.691,0.26,0.29,1.8,0.0
400,6.58,34.207,0.9,26.856,,2.92,66.3,
125,12.89,,5.19,,,0.83,,
65,14.28,33.202,5.92,24.742,0.26,0.52,2.9,0.9
314,7.26,33.98,2.22,26.584,,,,
0,17.08,34.311,5.56,24.967,,0.57,5.0,1.3
464,6.01,34.04,1.91,26.798,,,,
125,15.91,34.027,5.34,25.025,0.35,0.3,2.9,0.8
319,7.17,34.157,1.03,26.736,,2.77,58.7,37.3
125,14.96,34.85,1.19,25.87,,,,
11,18.52,33.37,5.23,23.898,,,,
20,20.3,33.333,6.03,23.414,1.12,0.21,2.5,0.1
200,9.65,34.455,1.39,26.589,,,,
1000,3.46,,0.33,,,,,
20,17.09,33.173,5.66,24.093,0.14,0.33,2.5,0.0
10,,,,,0.48,,,
39,11.74,33.82,4.52,25.723,,,,
195,8.45,34.149,1.49,26.541,,,,
9,16.363,33.1094,,24.2129,,,,
123,11.9,34.56,0.63,26.27,,,,
300,8.07,34.231,1.25,26.664,,2.6,49.4,32.1
104,10.88,33.36,,25.522,,,,
30,19.81,33.825,5.28,23.918,0.14,0.2,2.2,0.0
438,6.14,34.171,0.69,26.885,,2.9,71.2,38.5
75,15.37,33.655,,24.857,,,,
80,13.64,33.51,,25.113,,,,
289,9.94,,,,,,,
62,14.46,33.43,6.45,24.88,,,,
61,9.85,33.754,3.29,26.006,0.03,1.78,23.3,21.7
70,10.27,33.792,3.46,25.965,2.94,1.71,23.3,19.4
1200,3.29,34.499,0.88,27.466,,2.96,,
100,11.93,33.126,5.31,25.15,0.24,0.87,6.5,6.8
62,10.61,33.794,3.37,25.907,0.26,1.66,22.0,19.3
41,13.86,33.397,5.79,24.979,,,,
68,10.22,33.69,3.54,25.894,,,,
41,12.578,33.4337,4.531,25.26499,0.425,1.01,9.33,9.1
900,4.55,34.45,0.42,27.298,,3.18,,
1100,3.94,34.525,0.76,27.423,,3.12,,
27,17.02,33.331,5.7,24.231,0.17,0.32,1.6,0.1
75,16.28,33.946,5.5,24.877,,0.32,,
75,15.49,,3.89,,,,,19.5
600,5.91,34.42,,27.112,,,,
580,6.52,34.36,0.33,26.987,,3.4,,
900,4.39,34.485,0.47,27.343,,,,
527,6.25,34.31,0.42,26.982,,,78.0,39.0
62,19.49,34.31,4.03,24.372,,,,
288,9.44,34.31,,26.512,,,,
30,19.0,33.62,5.33,23.969,,,,
10,17.5,33.469,5.71,24.222,0.24,0.27,1.5,0.0
150,9.94,34.078,3.17,26.245,,,,
49,12.88,33.91,2.71,25.574,,,,
85,12.27,33.1,5.64,25.065,0.33,0.58,6.3,2.5
100,10.472,33.6204,3.437,25.79864,0.033,1.6,18.82,19.61
150,8.68,34.091,1.79,26.459,,,,
100,10.62,33.544,5.15,25.711,,,,
220,9.82,34.38,,26.503,,,,
150,7.55,33.81,,26.407,,,,
150,8.9,33.803,3.62,26.199,0.0,1.56,27.6,23.1
150,9.83,33.656,4.39,25.934,0.02,1.3,16.7,16.8
49,11.84,,5.87,,,,,
30,16.55,33.494,,24.466,,,,
94,14.06,33.79,4.44,25.243,,0.89,8.0,
490,8.32,34.595,0.33,26.916,,3.27,70.0,
50,11.96,33.43,,25.379,,,,
20,11.9,,4.94,,,,,
59,10.91,33.759,4.07,25.827,0.05,1.5,19.9,19.4
200,9.23,34.037,2.33,26.331,0.0,2.1,32.2,27.1
700,5.26,34.373,,27.155,,,,
500,5.95,34.177,0.85,26.914,,3.02,,
75,13.13,33.54,,25.239,,,,
35,13.94,33.71,,25.204,,,,
76,13.77,33.387,5.45,24.991,0.11,0.78,6.0,3.1
74,8.16,32.61,4.24,25.375,,,,
929,4.04,34.45,0.49,27.352,,,,
154,8.8,33.773,3.63,26.192,,,,
200,11.09,33.906,4.73,25.912,,1.25,12.0,
1005,4.08,34.54,,27.42,,,,
500,5.51,34.213,0.55,26.996,,2.79,80.0,39.4
300,7.1,34.22,,26.795,,,,
60,12.09,33.535,5.44,25.43,0.51,1.08,7.2,10.6
21,14.79,33.512,5.98,24.872,0.9,0.39,1.2,0.1
477,5.82,34.315,0.38,27.039,,3.05,81.1,40.6
30,14.752,33.2396,5.853,24.6711,0.334,0.33,2.62,0.0
78,12.43,33.326,5.83,25.21,0.14,0.52,2.9,1.8
1000,4.14,34.471,,27.359,,,,
700,4.39,34.351,0.35,27.235,,,,
75,8.22,33.81,2.86,26.308,,,,
100,8.7,34.01,,26.392,,,,
287,6.57,34.02,2.18,26.708,,2.45,56.1,35.2
57,11.86,33.502,4.63,25.454,0.22,1.19,11.8,13.8
67,16.19,33.66,5.62,24.677,,,,
412,6.14,34.15,0.94,26.868,,,,
204,8.34,34.038,2.52,26.471,,2.13,38.8,28.9
85,14.04,33.216,5.89,24.804,0.22,0.39,3.0,0.3
69,10.04,33.191,5.3,25.535,,,,
10,14.57,33.44,5.3,24.863,,0.39,,
22,18.96,33.592,5.5,23.958,0.11,0.31,2.2,0.2
20,16.6,32.824,5.71,23.939,0.16,0.39,0.7,0.0
75,14.45,33.368,5.98,24.835,0.3,0.41,3.1,0.1
0,18.79,34.02,5.29,24.327,,,,
500,7.41,34.511,0.17,26.983,,,,
29,19.58,33.7,5.42,23.882,,,,
41,18.73,33.541,5.53,23.977,0.06,0.31,2.0,0.1
400,6.17,34.149,0.88,26.863,,,,
150,9.58,33.884,2.83,26.154,0.0,1.9,25.8,24.2
20,19.57,33.627,,23.829,,,,
593,5.38,34.365,0.27,27.133,,,,
129,11.32,34.259,1.37,26.144,,2.39,30.0,24.8
300,9.11,34.44,0.4,26.668,,,,
20,17.64,,,,,,,
110,11.805,33.2504,4.829,25.27257,0.144,0.95,8.55,9.45
550,6.01,34.33,,27.028,,,,
500,6.96,34.16,0.9,26.769,,,,
896,4.24,34.54,,27.402,,,,
400,5.86,34.03,,26.808,,,,
500,5.74,34.229,0.49,26.981,,2.97,79.5,40.0
140,11.06,33.99,,25.982,,,,
274,7.94,34.248,1.16,26.697,,,,
72,17.88,33.859,5.68,24.432,0.08,0.33,3.0,0.0
551,6.0,34.321,0.34,27.022,,,,
400,8.45,34.43,0.43,26.765,,,,
528,6.08,34.3,0.49,26.995,,,,
15,15.3,33.608,5.79,24.835,0.45,0.35,1.9,0.7
500,6.73,34.411,0.45,26.998,,,,
75,16.52,34.14,5.3,24.97,,,,
20,20.7,33.46,5.22,23.41,0.11,0.26,2.0,0.1
60,13.42,32.941,6.08,24.717,0.22,0.39,2.5,0.2
60,10.0,33.7,2.57,25.938,,,,
800,5.05,,0.28,,,3.11,,
31,14.67,33.495,5.91,24.885,0.15,0.32,3.4,0.2
65,14.05,33.273,5.47,24.845,0.39,0.53,4.0,1.8
72,10.01,,3.94,,,1.33,,
225,8.76,34.201,,26.534,,,,
